web_name,name,element_type,now_cost,form,expected_goal_involvements,next_3_fdr,ep_next,buy_rating
Brooks,Bournemouth,3,5.0,1.0,8.07,3.33,0.0,3.96
Anthony,Burnley,3,5.0,2.5,6.52,3.33,2.0,3.94
Thiaw,Newcastle,2,5.1,4.5,4.62,3.67,4.5,3.91
Eze,Arsenal,3,7.2,3.0,6.11,3.67,2.0,3.91
Ampadu,Leeds,3,4.9,5.0,3.77,3.0,4.5,3.91
Gana,Everton,3,5.4,6.0,2.58,2.67,6.0,3.9
Mitchell,Crystal Palace,2,5.0,6.0,2.69,3.0,6.0,3.88
E.Le Fée,Sunderland,3,4.9,0.5,7.99,2.67,0.5,3.86
Nmecha,Leeds,4,5.0,1.5,7.14,3.0,1.0,3.86
Rodon,Leeds,2,3.9,7.0,1.6,3.0,4.9,3.84
Groß,Brighton,3,5.5,5.0,3.17,2.33,5.5,3.8
Scott,Bournemouth,3,5.0,3.5,5.06,3.33,2.5,3.76
Murillo,Nott'm Forest,2,5.2,7.0,1.06,2.33,7.0,3.76
Lewis-Potter,Brentford,2,4.8,5.0,3.51,3.33,5.0,3.74
Wharton,Crystal Palace,3,5.0,1.0,7.34,3.0,1.0,3.74
Martinelli,Arsenal,3,6.8,4.0,4.53,3.67,5.0,3.68
Andersen,Fulham,2,4.6,5.5,2.83,3.33,5.0,3.67
Dunk,Brighton,2,4.5,6.0,1.81,2.33,0.0,3.66
Talbi,Sunderland,3,4.9,5.0,2.95,2.67,5.0,3.65
Hinshelwood,Brighton,3,5.1,4.0,3.78,2.33,4.5,3.65
Bruno G.,Newcastle,3,6.8,0.0,8.44,3.67,0.0,3.64
Justin,Leeds,2,3.9,6.0,1.98,3.0,5.5,3.59
Souček,West Ham,3,5.7,3.0,4.81,2.67,3.5,3.59
Keane,Everton,2,4.6,5.5,2.17,2.67,5.5,3.53
O'Reilly,Man City,2,5.0,2.0,5.7,3.0,2.0,3.48
Barry,Everton,4,5.7,1.0,6.5,2.67,1.0,3.47
Zubimendi,Arsenal,3,5.1,3.0,4.96,3.67,4.0,3.45
Guéhi,Man City,2,5.1,2.0,5.58,3.0,2.0,3.43
Wilson,West Ham,4,5.8,0.5,6.85,2.67,0.8,3.41
Doku,Man City,3,6.4,1.0,6.45,3.0,1.0,3.38
Garnacho,Chelsea,3,6.4,1.0,6.69,3.67,1.0,3.34
C.Jones,Liverpool,3,5.4,3.5,3.83,3.0,4.0,3.33
Trossard,Arsenal,3,6.5,0.0,7.66,3.67,1.0,3.33
Bellegarde,Wolves,3,5.1,5.0,1.98,2.33,4.5,3.33
