web_name,name,element_type,now_cost,form,expected_goal_involvements,next_3_fdr,ep_next,buy_rating
Toti,Wolves,2,4.2,0.0,0.43,2.33,-0.5,0.71
Zinchenko,Nott'm Forest,2,4.9,0.0,0.43,2.33,0.0,0.71
Cirkin,Sunderland,2,4.0,0.5,0.09,2.67,0.5,0.7
Reinildo,Sunderland,2,3.8,0.0,0.59,2.67,0.0,0.7
Martinez,Man Utd,2,4.8,0.0,0.56,2.67,0.2,0.69
Aké,Man City,2,5.2,0.0,0.72,3.0,0.0,0.69
Hoever,Wolves,2,3.8,0.0,0.38,2.33,0.0,0.69
Boscagli,Brighton,2,4.2,0.0,0.36,2.33,0.5,0.68
Scarles,West Ham,2,4.3,0.0,0.5,2.67,0.5,0.67
Tosin,Chelsea,2,4.0,0.5,0.5,3.67,0.5,0.67
Doherty,Wolves,2,4.4,0.0,0.28,2.33,-0.5,0.65
Mazraoui,Man Utd,2,4.9,0.0,0.44,2.67,0.5,0.64
Bissouma,Spurs,3,5.2,0.0,0.44,2.67,0.0,0.64
White,Arsenal,2,5.1,0.0,0.92,3.67,1.0,0.63
Henry,Brentford,2,4.3,0.0,0.72,3.33,0.0,0.62
Tuanzebe,Burnley,2,3.9,0.0,0.72,3.33,-0.5,0.62
Dibling,Everton,3,5.3,0.0,0.34,2.67,0.0,0.6
Udogie,Spurs,2,4.3,-0.5,0.79,2.67,-0.5,0.58
Worrall,Burnley,2,3.8,0.5,0.1,3.33,0.0,0.57
Cook,Bournemouth,3,4.9,0.0,0.59,3.33,-0.5,0.57
J.Cuenca,Fulham,2,4.3,0.0,0.58,3.33,-0.5,0.57
Hickey,Brentford,2,4.0,0.0,0.57,3.33,0.0,0.56
Acheampong,Chelsea,2,3.7,0.0,0.73,3.67,0.0,0.56
José Sá,Wolves,1,4.2,0.0,0.03,2.33,-0.5,0.55
Johnstone,Wolves,1,4.4,0.0,0.02,2.33,-0.5,0.54
John,Nott'm Forest,1,4.0,0.0,0.0,2.33,0.0,0.53
Ekdal,Burnley,2,3.8,0.0,0.45,3.33,-0.5,0.51
Lindelöf,Aston Villa,2,4.5,0.0,0.1,2.67,0.0,0.51
Roefs,Sunderland,1,4.8,0.0,0.1,2.67,0.0,0.51
Bayindir,Man Utd,1,4.7,0.0,0.05,2.67,0.5,0.49
Milosavljević,Bournemouth,2,4.4,0.0,0.34,3.33,-1.0,0.47
Areola,West Ham,1,4.3,0.0,0.0,2.67,0.5,0.47
M.Bizot,Aston Villa,1,4.2,0.0,0.0,2.67,0.0,0.47
Chadi Riad,Crystal Palace,2,4.0,0.0,0.16,3.0,0.0,0.46
Henderson,Crystal Palace,1,5.1,0.0,0.1,3.0,0.0,0.44
Stones,Man City,2,5.4,0.0,0.06,3.0,0.0,0.42
Diakité,Bournemouth,2,4.1,0.0,0.21,3.33,-1.0,0.42
Bornauw,Leeds,2,3.8,0.0,0.01,3.0,-0.5,0.4
Perri,Leeds,1,4.4,0.0,0.0,3.0,-0.5,0.4
Diop,Fulham,2,4.3,0.0,0.06,3.33,-0.5,0.36
Pope,Newcastle,1,5.0,0.0,0.16,3.67,0.0,0.33
Lewis-Skelly,Arsenal,2,5.0,0.0,0.11,3.67,1.0,0.31
B.Badiashile,Chelsea,2,4.4,0.0,0.06,3.67,0.0,0.29
